state_name,n,p_hat_trump,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s,bias_harris,p_hat_harris
Alabama,427,0.5644028103044496,0.6457209205815222,0.3410072005968858,2265090,-0.08131811027707259,0.08131811027707259,0.00018851348070054612,0.07819654647571378,0.41920374707259955
Alaska,73,0.4246575342465753,0.5454480937497228,0.4140612756041954,338177,-0.12079055950314749,0.12079055950314749,0.00021586329052537576,0.09278803946429776,0.5068493150684932
Arizona,861,0.5005807200929152,0.5223002024890546,0.4670141701031977,3389319,-0.02171948239613941,0.02171948239613941,0.0002540333323596864,0.018467827573921958,0.48548199767711964
Arkansas,239,0.49372384937238495,0.6419687217800987,0.3355990989924544,1182676,-0.14824487240771372,0.14824487240771372,0.00020208408727326842,0.1455724491247004,0.4811715481171548
California,2503,0.3148222133439872,0.383329021034668,0.58467704244594,15865475,-0.0685068076906808,0.0685068076906808,0.00015776394970840773,0.06614197473344474,0.6508190171793847
Colorado,611,0.36006546644844517,0.4314284416700989,0.5412768636392822,3192745,-0.07136297522165375,0.07136297522165375,0.00019137137478877895,0.06756110690081607,0.6088379705400983
Connecticut,301,0.3289036544850498,0.4189390623134604,0.5639837181141665,1759010,-0.09003540782841057,0.09003540782841057,0.00017111898169993347,0.07721229517487005,0.6411960132890365
Delaware,116,0.33620689655172414,0.4179090800974044,0.5649262155570243,512913,-0.08170218354568026,0.08170218354568026,0.00022615921218608224,0.06438412927056192,0.6293103448275862
District Of Columbia,72,0.06944444444444445,0.0646762963031156,0.9027707452994916,325869,0.004768148141328851,0.004768148141328851,0.000220947681430268,0.01389592136717499,0.9166666666666666
Florida,2435,0.47433264887063653,0.5608834311631108,0.4298829273881028,10893752,-0.08655078229247426,0.08655078229247426,0.00022352262104002367,0.08182138472688688,0.5117043121149897
Georgia,1011,0.42433234421364985,0.5071729539955493,0.4852529230675474,5250905,-0.08284060978189944,0.08284060978189944,0.00019253823864648093,0.06568674063176017,0.5509396636993076
Hawaii,100,0.24,0.3748028356825321,0.6058513531036325,516701,-0.1348028356825321,0.1348028356825321,0.00019353552634889423,0.09414864689636748,0.7
Idaho,175,0.5771428571428572,0.6687379910878541,0.3038173286323403,905057,-0.09159513394499696,0.09159513394499696,0.00019335798739747884,0.1018969570819454,0.4057142857142857
Illinois,1218,0.36288998357963875,0.4347495522170801,0.543705743159883,5633310,-0.07185956863744136,0.07185956863744136,0.00021621391331206696,0.06959474945095445,0.6133004926108374
Indiana,734,0.45776566757493187,0.5858141702339072,0.3962311823874399,2936677,-0.12804850265897538,0.12804850265897538,0.00024994236683162634,0.11875519363435855,0.5149863760217984
Iowa,408,0.4117647058823529,0.5572682034209675,0.425173098263547,1663506,-0.14550349753861458,0.14550349753861458,0.0002452651207750378,0.15570925467762953,0.5808823529411765
Kansas,304,0.3881578947368421,0.5715630792917397,0.4104072715166041,1327591,-0.18340518455489757,0.18340518455489757,0.0002289861862576652,0.17840851795708007,0.5888157894736842
Kentucky,429,0.5104895104895105,0.6447214549801642,0.3393747017396711,2074530,-0.13423194449065368,0.13423194449065368,0.00020679382799959509,0.14547378310881376,0.48484848484848486
Louisiana,320,0.509375,0.6021524931800346,0.3821024178178602,2006975,-0.09277749318003459,0.09277749318003459,0.00015944393926182438,0.08977258218213979,0.471875
Maine,183,0.44808743169398907,0.4546408058938505,0.52401383250639,831375,-0.006553374199861406,0.006553374199861406,0.0002201172755976545,0.0060408123023532045,0.5300546448087432
Maryland,559,0.29695885509839,0.3408282302077388,0.6261908664419382,3038334,-0.043869375109348796,0.043869375109348796,0.00018398240614757956,0.05359446450618344,0.6797853309481217
Massachusetts,643,0.3157076205287714,0.3602252719603601,0.6121822810930694,3473668,-0.0445176514315887,0.0445176514315887,0.00018510692443837466,0.044116319217972655,0.656298600311042
Michigan,1159,0.39516824849007764,0.4972710995013228,0.4831290850971348,5664186,-0.10210285101124517,0.10210285101124517,0.000204618986735252,0.10013234717206276,0.5832614322691976
Minnesota,652,0.3512269938650307,0.4668313910606284,0.5092254880267493,3253920,-0.11560439719559767,0.11560439719559767,0.0002003737031027192,0.1150076408076065,0.6242331288343558
Mississippi,200,0.57,0.6089080852893467,0.3800203256004847,1228008,-0.03890808528934675,0.03890808528934675,0.0001628653884990977,0.029979674399515266,0.41
Missouri,815,0.4822085889570552,0.5849064225708912,0.4008240168769553,2995327,-0.102697833613836,0.102697833613836,0.00027209049295786404,0.09856248619052937,0.49938650306748467
Montana,158,0.5126582278481012,0.583914767572803,0.3846106643359542,602963,-0.0712565397247018,0.0712565397247018,0.0002620392959435322,0.05842731034759008,0.4430379746835443
Nebraska,211,0.46445497630331756,0.5931807154514578,0.3885759235104213,952182,-0.12872573914814023,0.12872573914814023,0.0002215962914652871,0.11379374473602416,0.5023696682464455
Nevada,378,0.3941798941798942,0.5126926765014008,0.4812925065604706,1465215,-0.11851278232150664,0.11851278232150664,0.0002579826168855765,0.11130008603212194,0.5925925925925926
New Hampshire,179,0.3687150837988827,0.478731864016587,0.5065281672837572,826189,-0.11001678021770434,0.11001678021770434,0.0002166574476300217,0.11358356455981822,0.6201117318435754
New Jersey,904,0.41261061946902655,0.4606463088544196,0.5197416168838388,4272725,-0.04803568938539304,0.04803568938539304,0.00021157458062477693,0.04552386984182488,0.5652654867256637
New Mexico,224,0.38392857142857145,0.4585116141056505,0.5185189998299767,923403,-0.07458304267707905,0.07458304267707905,0.00024258097493727007,0.07523100017002327,0.59375
New York,1732,0.35161662817551964,0.4331444097499576,0.5590486045554668,8262600,-0.08152778157443796,0.08152778157443796,0.00020961924817853943,0.07432321992490276,0.6333718244803695
North Carolina,1049,0.44518589132507147,0.5085719058363357,0.4764533813078146,5699141,-0.06338601451126424,0.06338601451126424,0.00018406282631014043,0.06024823928322448,0.5367016205910391
North Dakota,65,0.4307692307692308,0.669568524127066,0.3051079029213239,368155,-0.23879929335783523,0.23879929335783523,0.00017655607013350355,0.2179690201555992,0.5230769230769231
Ohio,1360,0.4198529411764706,0.5513579902728741,0.4392843495634722,5767788,-0.13150504909640354,0.13150504909640354,0.0002357923002717853,0.13056859161299839,0.5698529411764706
Oklahoma,346,0.5289017341040463,0.6616210342024795,0.3189934956099997,1566173,-0.13271930009843325,0.13271930009843325,0.00022092067734535073,0.11453251595069397,0.43352601156069365
Oregon,675,0.31555555555555553,0.4096604444745428,0.5527306166693324,2244493,-0.09410488891898727,0.09410488891898727,0.0003007360682345634,0.09912123518251947,0.6518518518518519
Pennsylvania,1851,0.4467855213398163,0.5037253671558666,0.4866280572391539,7034206,-0.05693984581605027,0.05693984581605027,0.0002631427058007684,0.04929846896289902,0.5359265262020529
Rhode Island,121,0.33884297520661155,0.4178753659230616,0.5557664796934627,513086,-0.07903239071645007,0.07903239071645007,0.00023582791189001454,0.08886161948009097,0.6446280991735537
South Carolina,522,0.5574712643678161,0.5822862951015251,0.4036089068889464,2548140,-0.024815030733708943,0.024815030733708943,0.00020485530622336293,0.019762740620632158,0.42337164750957856
South Dakota,104,0.4807692307692308,0.6343367791812964,0.3423909242239847,428922,-0.1535675484120656,0.1535675484120656,0.00024246832757471054,0.1576090757760153,0.5
Tennessee,763,0.54521625163827,0.6419393709149847,0.3447405336001791,3063942,-0.09672311927671462,0.09672311927671462,0.0002490256016595614,0.10086890283494543,0.4456094364351245
Texas,2257,0.4873726185201595,0.561399597529967,0.4245665474312461,11388674,-0.07402697900980754,0.07402697900980754,0.00019817934906205938,0.06856592930778799,0.4931324767390341
Utah,137,0.48905109489051096,0.5937665855556018,0.3779430753499846,1488494,-0.10471549066509084,0.10471549066509084,9.203933640310274e-05,0.09650947939454091,0.4744525547445255
Vermont,77,0.19480519480519481,0.322959777110552,0.6378073521058184,369690,-0.1281545823053572,0.1281545823053572,0.00020828261516405637,0.10245238815392188,0.7402597402597403
Virginia,952,0.4380252100840336,0.4605739184347081,0.5182386736091495,4503288,-0.022548708350674462,0.022548708350674462,0.00021140109182446248,0.019576452441270598,0.5378151260504201
Washington,864,0.3449074074074074,0.3901193172797912,0.5723012056083173,3924243,-0.045211909872383826,0.045211909872383826,0.00022016985186697153,0.05385620179909012,0.6261574074074074
West Virginia,236,0.5805084745762712,0.6996684955362295,0.2810300242333959,762584,-0.11916002095995826,0.11916002095995826,0.0003094741038364298,0.10456319610558718,0.3855932203389831
Wisconsin,769,0.40052015604681407,0.495958711251628,0.4873704248830968,3422918,-0.09543855520481392,0.09543855520481392,0.00022466211577373458,0.0965047376656678,0.5838751625487646
Wyoming,51,0.6470588235294118,0.7159800481698433,0.2584185721506943,269048,-0.06892122464043149,0.06892122464043149,0.00018955725372424252,0.055306918045384124,0.3137254901960784
