state_name,n,sum_w,sum_wx,p_hat,num_for_var,var_delta,se,ci_lo,ci_hi,p_trump_true,N_state
Alabama,593,570.49,338.28,0.5929639432768321,133.68325191118922,0.0004107531750254929,0.0202670465294155,0.5532405320791778,0.6326873544744864,0.6457209205815222,2265090
Alaska,90,87.7,38.839999999999996,0.4428734321550741,21.102566696197908,0.002743696661574054,0.05238030795608264,0.3402080285611521,0.5455388357489961,0.5454480937497228,338177
Arizona,1119,1087.25,549.6899999999999,0.5055782938606576,265.6022971039487,0.0002246844382926086,0.01498947758571354,0.476198917792659,0.5349576699286561,0.5223002024890546,3389319
Arkansas,324,313.05,164.73,0.5262098706276952,75.89138614429481,0.0007743995090657482,0.0278280345886257,0.4716669228339888,0.5807528184214016,0.6419687217800987,1182676
California,3365,3253.69,1058.08,0.3251938568210247,695.0720601141473,6.56564635125988e-05,0.00810286761045735,0.3093122363045283,0.3410754773375211,0.383329021034668,15865475
Colorado,770,747.8199999999999,269.82,0.3608087507689016,168.127445769445,0.0003006384081960444,0.017338927538808287,0.3268244527928374,0.39479304874496585,0.4314284416700989,3192745
Connecticut,419,399.49,141.49,0.354176575133295,87.99021580657467,0.0005513438794051809,0.023480712923699333,0.30815437780284427,0.4001987724637457,0.4189390623134604,1759010
Delaware,156,148.07999999999998,53.64,0.3622366288492707,32.70590074680382,0.0014915344989065436,0.03862038967833628,0.28654066507973164,0.4379325926188098,0.4179090800974044,512913
District Of Columbia,108,104.88,6.58,0.06273836765827613,5.870211388148512,0.0005336645851177737,0.023101181465842256,0.01746005198522531,0.10801668333132695,0.0646762963031156,325869
Florida,3161,3062.31,1456.33,0.4755658310229859,743.8601292079026,7.9321875850652e-05,0.00890628294243182,0.45810951645581954,0.4930221455901522,0.5608834311631108,10893752
Georgia,1393,1345.37,578.67,0.43011959535295125,320.584385875783,0.000177116445394862,0.013308510262041428,0.40403491523935003,0.45620427546655246,0.5071729539955493,5250905
Hawaii,141,135.44,37.8,0.27909037212049614,26.47252716285291,0.001443116899193255,0.03798837847543976,0.20463315030863422,0.3535475939323581,0.3748028356825321,516701
Idaho,232,224.17,132.19,0.5896863987152607,52.93199101790211,0.0010533270724432486,0.03245500073090815,0.5260745972826808,0.6532982001478407,0.6687379910878541,905057
Illinois,1648,1585.22,589.66,0.3719736061871538,358.8906974335631,0.0001428180553928642,0.011950650835534616,0.34855033054950596,0.39539688182480165,0.4347495522170801,5633310
Indiana,935,898.97,434.99,0.4838759914123942,217.92777702769183,0.0002696635149362477,0.01642143461870027,0.45168997955974166,0.5160620032650467,0.5858141702339072,2936677
Iowa,483,464.49,199.4,0.42928803634093304,110.25378594532613,0.0005110233849908421,0.022605826350541626,0.38498061669387146,0.47359545598799463,0.5572682034209675,1663506
Kansas,366,350.87,141.97,0.40462279476729274,81.62302015602145,0.0006630101643553928,0.025748983753837603,0.35415478660977107,0.4550908029248144,0.5715630792917397,1327591
Kentucky,614,588.23,300.75,0.5112796015164136,142.24626507717994,0.0004110991058236558,0.020275579050267733,0.47153946657788887,0.5510197364549384,0.6447214549801642,2074530
Louisiana,455,437.09,230.06,0.5263446887368735,105.65745943431256,0.000553042392430607,0.023516853370096243,0.4802516561314848,0.5724377213422621,0.6021524931800346,2006975
Maine,236,229.17,108.82,0.4748440022690579,55.89524208817753,0.0010642883590817464,0.03262343266858572,0.41090207423862984,0.5387859302994858,0.4546408058938505,831375
Maryland,755,723.85,227.62,0.3144574152103336,150.54192718628053,0.00028731633235602315,0.01695040802918983,0.28123461547312156,0.34768021494754564,0.3408282302077388,3038334
Massachusetts,852,827.73,261.6,0.3160450871661049,174.25619076313757,0.00025433774959233784,0.015947970077484403,0.28478706581423546,0.34730310851797436,0.3602252719603601,3473668
Michigan,1498,1446.86,574.52,0.39708057448543743,336.5893574254145,0.00016078567729865982,0.012680129230361173,0.37222752119392954,0.4219336277769453,0.4972710995013228,5664186
Minnesota,811,786.05,295.24,0.37559951657019275,179.6891267809345,0.0002908181143129839,0.017053390112027108,0.34217487195061963,0.40902416118976587,0.4668313910606284,3253920
Mississippi,290,281.18,155.94,0.554591364961946,67.58733196239369,0.0008548628606255762,0.029238037906562337,0.4972848106650839,0.6118979192588082,0.6089080852893467,1228008
Missouri,1017,977.25,480.71,0.49190074187771804,236.64130704747734,0.00024778738772929877,0.015741263854255755,0.4610478647233768,0.5227536190320593,0.5849064225708912,2995327
Montana,190,183.47,96.56,0.526298577424102,44.62110309867275,0.0013255929343553331,0.03640869311517969,0.4549375389183498,0.5976596159298542,0.583914767572803,602963
Nebraska,263,255.42,118.44,0.46370683579985905,61.942244368459654,0.0009494610124516712,0.030813325241714356,0.40331271832609894,0.5241009532736192,0.5931807154514578,952182
Nevada,533,513.66,201.82,0.3929058131838181,118.85952836011896,0.000450487254117593,0.02122468501810081,0.3513054305483405,0.4345061958192957,0.5126926765014008,1465215
New Hampshire,238,228.7,86.41,0.37783121993878444,52.25474388900094,0.0009990641939220913,0.031607976745152346,0.3158795855182858,0.43978285435928305,0.478731864016587,826189
New Jersey,1181,1137.48,485.89,0.4271635545240356,269.45653065300473,0.0002082577515159198,0.014431138261271001,0.3988785235319444,0.45544858551612677,0.4606463088544196,4272725
New Mexico,291,281.48,114.76,0.40770214580076736,65.94317352155275,0.0008322901580383721,0.028849439475289153,0.3511572444292006,0.4642470471723341,0.4585116141056505,923403
New York,2388,2291.55,842.5699999999999,0.3676856276319521,514.9221760805053,9.805797504459842e-05,0.0099024226856158,0.34827687916814515,0.3870943760957591,0.4331444097499576,8262600
North Carolina,1369,1318.92,593.81,0.45022442604555235,316.9581732142718,0.00018220699568073745,0.013498407153465829,0.42376754802475936,0.47668130406634535,0.5085719058363357,5699141
North Dakota,86,81.78,35.16,0.42993396918561994,19.178289921298074,0.002867580821897734,0.053549797589699015,0.3249763659098099,0.53489157246143,0.669568524127066,368155
Ohio,1858,1801.86,782.8,0.43443996758904685,431.7174106117779,0.00013297116532768523,0.011531312385313531,0.4118385953138323,0.4570413398642614,0.5513579902728741,5767788
Oklahoma,466,448.4,242.12,0.5399643175735951,107.73100766745632,0.0005358083954937028,0.02314753540862834,0.4945951481726835,0.5853334869745066,0.6616210342024795,1566173
Oregon,800,777.61,248.02,0.31895165957227917,164.91216804677947,0.00027272756021563235,0.016514465181035453,0.2865833078174497,0.35132001132710866,0.4096604444745428,2244493
Pennsylvania,2352,2278.9,1053.97,0.46249067532581506,551.6595788310033,0.00010622350480930401,0.010306478778385177,0.44228997692018013,0.48269137373145,0.5037253671558666,7034206
Rhode Island,159,152.5,52.54,0.34452459016393444,33.28717450484923,0.0014313216664272716,0.03783281203436075,0.27037227857658735,0.4186769017512815,0.4178753659230616,513086
South Carolina,675,651.45,353.36,0.5424207537032772,156.90218664665284,0.00036971478568119967,0.019227968839198792,0.5047339347784476,0.5801075726281069,0.5822862951015251,2548140
South Dakota,127,123.32,65.06,0.5275705481673695,29.952803558316145,0.001969565580823468,0.04437978797632395,0.44058616373377457,0.6145549326009644,0.6343367791812964,428922
Tennessee,1005,973.54,553.4399999999999,0.5684820346364813,232.2070829531299,0.0002450010030924876,0.015652507885079874,0.5378031191817247,0.5991609500912378,0.6419393709149847,3063942
Texas,3057,2930.34,1423.8899999999999,0.4859128974794733,707.5790072723134,8.240222012641228e-05,0.009077566861577627,0.46812086643078116,0.5037049285281655,0.561399597529967,11388674
Utah,355,341.7,151.44,0.44319578577699736,81.73387511982,0.0007000227145001122,0.026457942370866867,0.39133821873009833,0.4950533528238964,0.5937665855556018,1488494
Vermont,101,98.4,24.82,0.25223577235772354,18.02131142342521,0.0018612135038073823,0.04314178373465082,0.16767787623780794,0.33679366847763914,0.322959777110552,369690
Virginia,1188,1147.6,486.75,0.4241460439177414,273.11175808527724,0.00020737639417246038,0.014400569230848493,0.39592092822527836,0.45237115961020447,0.4605739184347081,4503288
Washington,1064,1030.57,355.31,0.34477036979535597,226.3207948502953,0.00021309313945893266,0.014597710075862332,0.31615885804666577,0.37338188154404617,0.3901193172797912,3924243
West Virginia,301,285.98,172.60999999999999,0.6035736764808727,65.91649486748577,0.0008059772473568954,0.028389738416492945,0.5479297891845465,0.6592175637771989,0.6996684955362295,762584
Wisconsin,1035,1001.64,404.37,0.403707919012819,234.65855705818046,0.0002338907662722027,0.015293487707916815,0.37373268310530205,0.43368315492033593,0.495958711251628,3422918
Wyoming,65,62.33,43.05,0.6906786459168939,12.926794378389308,0.0033273354487502807,0.05768306032753707,0.5776198476749212,0.8037374441588665,0.7159800481698433,269048
